timestamp,temperature,humidity,industrial_activity,tariff,demand
2015-01-01,19.19,75.4,0.7,0.09,188.9
2015-01-02,23.1,79.4,0.76,0.08,211.7
2015-01-03,20.42,76.0,0.56,0.08,193.6
2015-01-04,22.71,76.9,,0.11,
2015-01-05,19.6,72.3,0.47,0.1,186.1
2015-01-06,23.11,79.9,0.78,0.11,204.3
2015-01-07,21.41,80.1,0.33,0.1,176.2
2015-01-08,21.15,70.8,0.3,0.09,175.1
2015-01-09,20.1,80.0,0.71,0.1,
2015-01-10,22.8,80.7,0.66,0.11,198.0
2015-01-11,20.68,,0.51,0.12,187.4
2015-01-12,20.75,78.6,0.52,0.1,186.5
2015-01-13,21.46,71.1,0.65,,191.0
2015-01-14,23.35,81.4,,0.08,206.8
2015-01-15,19.78,87.6,0.51,0.09,185.0
2015-01-16,19.3,,0.5,0.1,181.8
2015-01-17,,77.6,0.76,0.09,204.1
2015-01-18,21.32,80.1,0.78,0.11,195.6
2015-01-19,22.54,82.9,0.8,0.12,200.8
2015-01-20,23.92,82.2,0.77,0.11,205.9
2015-01-21,21.79,93.2,0.42,0.1,179.2
2015-01-22,21.38,79.3,0.48,0.11,181.7
2015-01-23,21.99,69.6,0.92,0.11,205.5
2015-01-24,23.9,78.6,0.78,0.14,197.7
2015-01-25,22.98,89.7,0.51,0.11,
2015-01-26,21.76,75.3,,0.11,206.0
2015-01-27,19.59,83.1,0.47,0.1,183.2
2015-01-28,23.08,75.0,,,188.5
2015-01-29,20.71,76.4,0.38,0.12,183.2
2015-01-30,24.02,84.2,0.61,0.11,194.6
2015-01-31,21.19,84.8,0.71,0.12,193.7
2015-02-01,24.95,74.0,0.88,0.11,214.4
2015-02-02,22.65,83.7,0.52,0.09,191.3
2015-02-03,21.31,76.6,0.61,0.1,195.7
2015-02-04,,80.4,0.66,0.11,192.9
2015-02-05,20.23,76.8,0.46,0.11,186.0
2015-02-06,23.0,77.4,0.68,0.13,190.4
2015-02-07,23.48,84.6,0.41,0.09,195.9
2015-02-08,21.42,76.9,0.55,0.14,186.1
2015-02-09,22.17,71.6,0.5,0.11,187.7
2015-02-10,24.8,87.4,0.3,,189.2
2015-02-11,23.49,84.3,0.47,0.13,186.2
2015-02-12,20.6,85.6,0.57,0.12,185.5
2015-02-13,24.97,86.1,0.57,0.12,207.8
2015-02-14,24.16,81.7,0.55,0.11,187.8
2015-02-15,,74.7,0.65,0.12,198.4
2015-02-16,23.24,76.7,0.71,0.13,191.3
2015-02-17,22.86,77.8,0.52,0.13,185.4
2015-02-18,22.19,85.7,0.76,0.11,217.9
2015-02-19,25.65,75.0,0.47,0.13,193.5
2015-02-20,24.36,78.9,0.62,0.12,193.6
2015-02-21,23.68,78.1,0.6,0.11,190.9
2015-02-22,25.36,82.0,0.3,0.13,171.3
2015-02-23,22.54,86.6,0.91,0.1,221.6
2015-02-24,22.42,77.2,0.38,0.13,179.0
2015-02-25,23.49,78.8,0.51,0.11,186.0
2015-02-26,25.03,76.3,0.86,0.13,210.7
2015-02-27,21.47,79.6,,0.12,
2015-02-28,24.76,70.6,0.46,0.11,184.2
2015-03-01,23.09,85.3,0.6,0.12,187.4
2015-03-02,22.65,81.2,0.76,0.13,198.7
2015-03-03,22.79,76.6,0.74,0.13,192.7
2015-03-04,24.36,86.2,0.49,0.12,193.2
2015-03-05,22.25,73.0,0.48,0.11,183.8
2015-03-06,22.81,83.0,0.69,0.12,196.7
2015-03-07,22.88,70.9,0.48,0.13,189.9
2015-03-08,23.77,76.5,0.61,,190.6
2015-03-09,22.36,76.5,0.64,0.13,191.9
2015-03-10,24.38,80.8,0.6,0.12,190.6
2015-03-11,26.65,77.3,0.45,0.14,180.8
2015-03-12,24.51,83.2,0.57,0.13,195.6
2015-03-13,24.1,77.6,0.63,0.13,185.5
2015-03-14,25.38,82.4,0.74,0.13,202.3
2015-03-15,25.71,,0.82,0.11,216.2
2015-03-16,25.01,83.4,0.74,0.15,198.5
2015-03-17,25.33,78.1,,0.12,192.1
2015-03-18,26.17,,0.52,0.14,187.2
2015-03-19,23.84,77.2,,0.14,187.1
2015-03-20,23.5,85.4,0.63,0.14,198.8
2015-03-21,24.1,80.5,0.63,0.14,196.5
2015-03-22,,75.4,0.51,0.13,192.4
2015-03-23,24.43,87.7,0.79,0.15,
2015-03-24,23.26,83.3,0.43,,174.1
2015-03-25,23.66,80.0,0.77,,189.3
2015-03-26,26.87,83.0,0.83,0.11,216.8
2015-03-27,25.03,86.0,0.87,0.12,210.7
2015-03-28,25.62,78.2,0.57,0.14,191.3
2015-03-29,25.06,,0.72,0.12,196.9
2015-03-30,23.18,85.7,0.51,0.12,181.1
2015-03-31,24.59,76.0,0.71,0.14,194.6
2015-04-01,25.39,78.9,0.41,0.13,181.6
2015-04-02,25.31,85.5,0.76,0.13,201.7
2015-04-03,22.6,76.0,0.57,0.14,183.5
2015-04-04,25.37,86.3,0.48,0.14,183.5
2015-04-05,25.18,78.9,0.48,0.15,188.8
2015-04-06,,81.6,0.5,0.16,185.5
2015-04-07,22.75,,0.55,0.14,192.3
2015-04-08,26.54,84.4,0.7,0.14,199.5
2015-04-09,22.99,72.9,0.59,0.15,189.4
2015-04-10,26.5,82.4,0.55,0.12,202.6
2015-04-11,28.63,77.9,,0.14,200.1
2015-04-12,26.2,80.2,0.3,0.14,176.5
2015-04-13,24.16,70.9,0.63,0.15,185.0
2015-04-14,27.22,81.4,,0.16,201.2
2015-04-15,22.06,76.7,0.47,0.12,188.7
2015-04-16,25.97,77.5,0.46,0.14,186.0
2015-04-17,23.6,66.5,0.67,0.15,189.4
2015-04-18,25.01,78.5,0.46,0.16,179.8
2015-04-19,24.97,72.6,0.66,0.13,
2015-04-20,25.7,65.3,0.72,0.15,184.5
2015-04-21,24.3,72.4,0.67,0.13,187.3
2015-04-22,26.8,79.8,0.35,0.14,182.1
2015-04-23,25.45,73.5,0.99,0.15,203.8
2015-04-24,26.62,,0.44,0.14,
2015-04-25,23.37,66.6,0.81,0.15,191.6
2015-04-26,24.47,79.1,0.56,0.13,190.3
2015-04-27,26.69,78.6,0.65,0.16,186.1
2015-04-28,22.34,73.4,0.64,0.16,
2015-04-29,22.87,81.6,0.85,0.15,206.5
2015-04-30,,,0.55,0.13,182.7
2015-05-01,,79.5,0.74,0.16,191.5
2015-05-02,21.09,78.2,0.7,0.17,182.7
2015-05-03,28.65,79.6,0.55,0.15,195.4
2015-05-04,24.15,79.3,0.64,0.15,184.2
2015-05-05,24.03,75.4,0.51,0.15,175.3
2015-05-06,22.21,79.4,0.52,0.15,176.5
2015-05-07,24.77,74.6,0.55,0.17,177.3
2015-05-08,24.44,67.3,,0.15,175.4
2015-05-09,23.77,75.9,0.75,0.16,189.1
2015-05-10,25.08,74.5,0.8,0.15,187.7
2015-05-11,22.75,74.0,0.86,0.15,191.9
2015-05-12,22.63,80.3,0.45,0.14,184.1
2015-05-13,22.43,72.3,0.6,0.16,186.4
2015-05-14,22.78,77.5,0.55,0.17,181.1
2015-05-15,23.64,74.7,,0.15,176.1
2015-05-16,22.79,59.5,0.59,0.16,173.2
2015-05-17,25.16,70.5,0.7,0.16,
2015-05-18,22.55,72.2,0.65,0.16,186.0
2015-05-19,25.36,73.9,,0.18,183.9
2015-05-20,21.17,74.7,0.35,0.16,169.0
2015-05-21,24.49,68.1,0.62,0.14,195.5
2015-05-22,24.13,69.6,0.49,0.17,167.3
2015-05-23,21.7,76.4,0.62,0.15,177.4
2015-05-24,23.99,,0.47,0.15,171.6
2015-05-25,22.53,74.2,0.71,0.14,187.1
2015-05-26,23.63,68.4,1.0,0.16,197.2
2015-05-27,23.46,67.6,0.58,,169.4
2015-05-28,21.56,76.5,0.55,0.14,169.3
2015-05-29,23.8,76.2,0.6,0.15,188.1
2015-05-30,24.08,73.1,0.7,0.17,184.7
2015-05-31,,64.9,0.84,0.16,187.9
2015-06-01,,,0.53,0.15,182.0
2015-06-02,22.97,68.1,0.47,0.17,178.5
2015-06-03,23.07,72.5,,0.16,181.5
2015-06-04,21.69,60.5,0.61,0.15,169.5
2015-06-05,24.02,83.8,0.74,0.16,193.8
2015-06-06,20.28,64.9,0.68,0.17,162.6
2015-06-07,,70.7,0.69,0.15,184.9
2015-06-08,24.56,69.6,0.53,0.17,175.3
2015-06-09,24.4,68.5,0.48,0.15,178.5
2015-06-10,21.04,63.3,0.67,0.17,172.5
2015-06-11,21.52,62.2,0.41,0.16,157.8
2015-06-12,19.86,68.5,0.66,0.18,171.3
