timestamp,temperature,humidity,industrial_activity,tariff,demand
2015-01-01,20.37,81.1,0.43,0.11,180.6
2015-01-02,21.37,75.0,0.6,0.1,188.5
2015-01-03,20.21,74.6,,0.11,198.5
2015-01-04,19.55,77.7,0.62,0.12,183.7
2015-01-05,19.67,71.0,0.56,,181.4
2015-01-06,21.65,83.4,0.68,0.1,198.7
2015-01-07,19.09,79.1,0.44,0.1,177.9
2015-01-08,,73.7,0.88,0.09,203.5
2015-01-09,21.63,77.3,0.56,0.13,177.8
2015-01-10,19.95,72.9,0.42,0.1,172.8
2015-01-11,22.5,75.1,0.5,,188.2
2015-01-12,19.73,77.4,0.58,0.1,
2015-01-13,19.03,,0.68,0.1,196.3
2015-01-14,21.8,86.9,0.67,0.12,204.5
2015-01-15,20.41,77.1,0.43,0.1,175.8
2015-01-16,19.97,77.0,0.68,0.1,196.8
2015-01-17,20.64,,0.77,0.1,192.2
2015-01-18,21.86,78.1,0.3,0.13,166.7
2015-01-19,22.29,73.8,0.63,0.1,186.1
2015-01-20,20.4,83.2,0.31,0.11,174.6
2015-01-21,24.03,82.7,0.43,0.12,179.6
2015-01-22,20.92,77.7,,0.11,176.7
2015-01-23,21.46,75.1,0.73,,188.3
2015-01-24,23.7,81.4,,0.13,191.3
2015-01-25,23.34,84.5,0.63,0.1,198.2
2015-01-26,20.27,76.2,0.64,0.12,182.7
2015-01-27,24.44,78.6,0.71,0.11,201.6
2015-01-28,19.74,82.9,0.75,0.12,189.0
2015-01-29,20.55,84.4,0.61,0.12,196.6
2015-01-30,22.14,80.1,0.64,0.12,190.5
2015-01-31,19.92,72.1,0.61,0.12,185.2
2015-02-01,20.88,76.8,0.66,0.11,190.1
2015-02-02,23.46,81.5,0.6,0.13,193.8
2015-02-03,24.25,63.9,0.57,0.11,182.7
2015-02-04,25.92,81.1,0.32,,176.9
2015-02-05,23.33,79.0,0.35,0.1,179.0
2015-02-06,20.13,76.3,0.54,0.13,186.8
2015-02-07,24.22,77.0,0.61,0.11,
2015-02-08,24.67,76.1,0.95,0.12,214.8
2015-02-09,20.76,81.5,0.43,0.12,187.7
2015-02-10,23.71,,0.55,0.12,181.8
2015-02-11,22.16,79.3,0.48,0.12,174.6
2015-02-12,,77.0,0.68,0.11,194.9
2015-02-13,,74.3,0.57,0.11,189.4
2015-02-14,23.6,79.4,0.47,0.11,188.0
2015-02-15,24.36,76.2,0.62,0.11,183.8
2015-02-16,24.05,75.6,,0.11,180.8
2015-02-17,,88.7,0.41,0.12,189.7
2015-02-18,22.96,85.4,,0.12,197.7
2015-02-19,24.37,83.8,0.42,0.12,189.2
2015-02-20,23.32,89.9,0.3,0.1,186.0
2015-02-21,23.18,71.9,0.67,0.13,
2015-02-22,23.85,73.4,0.51,0.11,181.2
2015-02-23,24.56,73.1,0.77,0.14,201.9
2015-02-24,22.56,86.1,0.48,0.11,
2015-02-25,23.74,83.7,0.73,0.13,197.4
2015-02-26,24.73,79.0,0.75,0.12,202.2
2015-02-27,24.55,86.4,0.57,,199.9
2015-02-28,23.58,80.6,0.43,0.11,180.1
2015-03-01,24.1,76.7,0.6,0.1,196.6
2015-03-02,25.54,85.6,0.61,0.11,205.6
2015-03-03,24.34,72.8,0.61,0.11,197.0
2015-03-04,22.44,84.8,0.53,0.13,193.7
2015-03-05,27.44,82.8,0.49,0.12,201.9
2015-03-06,23.16,85.2,0.6,,197.8
2015-03-07,27.96,81.3,0.4,0.14,193.3
2015-03-08,22.69,75.2,0.74,,194.8
2015-03-09,22.39,69.2,0.72,0.12,185.1
2015-03-10,26.29,83.9,0.42,0.14,184.1
2015-03-11,24.48,83.6,0.5,0.14,184.6
2015-03-12,24.18,85.0,0.57,0.13,190.1
2015-03-13,24.69,79.4,0.76,0.13,204.5
2015-03-14,24.14,73.9,0.49,0.12,182.0
2015-03-15,25.55,85.8,0.55,0.14,191.7
2015-03-16,27.0,85.9,0.52,0.13,192.4
2015-03-17,24.18,86.8,0.55,0.14,184.2
2015-03-18,26.24,74.1,0.75,0.13,194.9
2015-03-19,26.55,76.2,0.66,0.12,199.6
2015-03-20,25.16,85.1,0.86,0.14,215.5
2015-03-21,26.54,,0.64,0.13,190.8
