timestamp,temperature,humidity,industrial_activity,tariff,demand
2015-01-01,16.98,74.4,0.55,0.09,179.2
2015-01-02,21.36,78.1,0.6,,
2015-01-03,19.15,79.7,0.61,0.11,184.3
2015-01-04,18.69,77.1,0.68,0.1,192.8
2015-01-05,16.7,74.0,0.79,0.11,189.9
2015-01-06,21.31,69.7,0.64,0.1,180.3
2015-01-07,21.69,77.6,0.62,0.1,199.4
2015-01-08,16.74,77.9,0.67,0.11,177.2
2015-01-09,21.31,83.2,0.4,0.09,189.9
2015-01-10,17.36,76.3,0.75,0.11,189.5
2015-01-11,21.09,68.5,0.7,0.11,183.6
2015-01-12,21.64,79.3,0.4,0.1,185.4
2015-01-13,19.23,,0.41,0.11,177.7
2015-01-14,20.33,78.3,0.65,0.11,185.5
2015-01-15,19.65,76.2,0.59,0.1,184.8
2015-01-16,20.85,,0.51,0.11,
2015-01-17,21.56,77.7,0.82,0.09,208.2
2015-01-18,22.27,80.2,0.64,0.1,192.5
2015-01-19,24.4,64.4,0.65,0.12,188.5
2015-01-20,20.74,76.5,0.33,0.1,176.1
2015-01-21,19.51,75.8,0.68,0.1,186.9
2015-01-22,21.42,80.8,,0.11,189.6
2015-01-23,21.38,80.6,0.66,0.11,194.8
2015-01-24,22.94,72.9,0.33,0.11,182.9
2015-01-25,19.49,86.8,0.49,0.12,187.6
2015-01-26,22.13,,0.56,0.12,184.7
2015-01-27,23.13,87.4,0.42,0.11,187.7
2015-01-28,20.75,64.5,0.68,0.13,184.4
2015-01-29,,85.5,,0.11,208.4
2015-01-30,,72.9,,0.11,187.6
2015-01-31,20.89,82.0,0.56,0.13,185.4
2015-02-01,20.53,82.1,0.54,0.11,179.9
2015-02-02,23.63,83.8,0.69,0.11,194.3
2015-02-03,21.02,79.4,0.47,0.13,189.9
2015-02-04,21.7,83.5,0.75,0.13,197.7
2015-02-05,,78.3,0.91,0.11,
2015-02-06,22.2,78.5,0.78,0.1,205.5
2015-02-07,20.99,79.6,0.7,0.11,194.6
2015-02-08,24.2,78.4,0.66,0.13,189.9
2015-02-09,22.6,84.0,,0.12,185.3
2015-02-10,22.17,84.8,0.76,0.11,200.9
2015-02-11,20.11,74.2,0.44,0.12,170.0
2015-02-12,23.99,84.3,0.59,0.13,195.6
2015-02-13,23.72,83.7,0.74,0.12,197.4
2015-02-14,24.92,,0.81,,206.7
2015-02-15,21.68,69.5,0.82,0.12,198.1
2015-02-16,21.46,82.8,0.76,0.12,190.1
2015-02-17,21.52,75.1,0.85,0.1,205.7
2015-02-18,24.98,76.3,0.54,0.12,199.5
2015-02-19,24.5,74.7,0.35,0.13,185.0
2015-02-20,23.21,81.6,0.55,0.12,188.4
2015-02-21,24.65,79.7,,0.13,200.4
2015-02-22,22.85,82.3,0.59,0.11,189.5
2015-02-23,27.04,84.1,0.72,0.12,207.6
2015-02-24,20.47,77.1,0.6,0.11,185.1
2015-02-25,23.06,90.7,0.45,0.12,187.8
2015-02-26,27.29,87.0,,0.11,208.4
2015-02-27,23.91,69.8,0.36,0.12,173.8
2015-02-28,25.36,,0.62,0.12,198.0
2015-03-01,25.2,76.9,0.62,0.14,196.6
2015-03-02,23.49,87.3,0.83,0.11,199.8
2015-03-03,22.66,84.3,0.48,0.13,191.0
2015-03-04,,77.8,,0.11,201.1
2015-03-05,23.56,77.2,0.71,0.12,196.4
2015-03-06,25.02,74.5,0.7,0.12,204.4
2015-03-07,26.41,73.6,0.44,0.13,185.9
2015-03-08,27.25,84.8,0.6,0.13,204.1
2015-03-09,24.36,,0.48,0.12,191.2
2015-03-10,24.56,76.0,0.78,0.14,208.5
2015-03-11,24.02,80.0,0.7,0.13,195.5
2015-03-12,24.58,76.0,0.64,0.13,188.9
2015-03-13,21.2,84.0,0.53,0.14,180.5
2015-03-14,24.02,79.4,,0.14,189.8
2015-03-15,23.97,76.5,0.63,0.14,192.2
2015-03-16,23.64,76.3,0.62,0.13,190.7
2015-03-17,27.19,77.0,0.48,0.14,188.5
2015-03-18,23.56,74.7,0.82,0.14,206.5
2015-03-19,25.59,74.7,0.58,0.13,196.9
2015-03-20,23.1,79.1,0.53,0.14,195.5
2015-03-21,24.28,75.1,0.67,0.13,195.8
2015-03-22,25.16,78.8,0.61,0.14,189.4
2015-03-23,25.79,79.6,0.73,0.14,195.5
2015-03-24,,67.5,0.64,,195.1
2015-03-25,25.93,83.3,0.69,0.14,191.3
2015-03-26,26.06,82.5,0.51,0.14,190.9
2015-03-27,27.16,84.0,0.75,0.15,202.8
2015-03-28,22.26,,0.56,0.13,186.4
2015-03-29,26.01,83.6,0.6,0.16,184.8
2015-03-30,24.52,75.7,0.7,0.15,190.8
2015-03-31,25.68,83.6,0.67,0.15,204.1
2015-04-01,24.12,76.4,0.6,,193.6
2015-04-02,24.98,84.5,0.89,0.14,202.8
2015-04-03,23.99,76.9,0.39,0.13,174.6
2015-04-04,24.06,84.2,0.51,0.14,191.9
2015-04-05,24.19,80.9,0.53,0.14,188.7
2015-04-06,27.21,85.1,0.72,0.14,213.7
2015-04-07,23.42,84.0,0.55,0.15,182.2
2015-04-08,24.54,72.6,0.62,0.13,194.9
2015-04-09,23.4,77.1,0.44,0.15,180.2
2015-04-10,26.71,,0.45,0.13,184.7
2015-04-11,27.81,77.6,0.56,0.16,187.4
2015-04-12,23.59,80.8,0.67,0.13,196.5
2015-04-13,25.14,80.4,0.51,0.14,183.4
2015-04-14,25.34,79.2,0.35,0.13,172.8
2015-04-15,22.58,78.3,0.83,0.15,197.1
2015-04-16,25.81,74.5,0.6,0.14,190.0
2015-04-17,22.76,84.0,0.57,0.15,178.1
2015-04-18,25.59,79.8,0.58,0.14,195.3
2015-04-19,26.77,74.7,0.38,0.16,173.5
2015-04-20,27.45,79.8,0.59,0.14,183.0
2015-04-21,,71.6,0.4,0.15,175.9
2015-04-22,26.08,82.5,0.62,0.14,185.9
2015-04-23,22.9,80.4,0.3,0.16,171.8
2015-04-24,25.34,83.0,0.57,0.15,181.1
2015-04-25,25.57,83.7,0.7,,194.3
2015-04-26,20.6,77.3,0.55,0.13,189.1
2015-04-27,26.76,73.1,0.69,0.14,195.8
2015-04-28,23.56,,0.62,0.13,192.4
2015-04-29,25.71,68.9,0.86,0.14,206.4
2015-04-30,22.19,66.7,,0.17,175.7
2015-05-01,24.5,73.4,0.86,0.13,207.3
2015-05-02,27.02,75.0,0.57,0.16,187.9
2015-05-03,25.33,77.6,0.65,0.14,193.2
2015-05-04,25.33,78.8,0.46,0.16,183.6
2015-05-05,25.03,71.5,0.42,0.15,173.2
2015-05-06,23.22,74.3,0.75,0.16,182.0
2015-05-07,24.66,70.8,0.51,0.16,182.0
2015-05-08,22.36,76.1,0.74,0.16,192.0
2015-05-09,25.27,,0.64,0.16,191.9
2015-05-10,21.99,,0.63,0.16,183.0
2015-05-11,24.71,75.3,0.77,0.16,202.7
2015-05-12,26.08,81.0,0.74,0.14,199.0
2015-05-13,24.99,73.3,0.38,0.16,172.9
2015-05-14,23.22,73.8,,0.15,182.7
2015-05-15,25.95,76.8,0.64,0.15,193.4
2015-05-16,23.04,85.9,0.49,0.16,185.0
2015-05-17,21.88,70.4,0.59,0.17,179.1
2015-05-18,22.29,75.6,0.56,0.17,170.2
2015-05-19,23.42,,0.98,0.15,192.8
2015-05-20,25.36,74.6,0.54,0.16,179.7
2015-05-21,22.79,81.6,0.64,0.16,182.3
2015-05-22,22.35,80.0,0.82,0.16,194.2
2015-05-23,25.47,76.0,0.6,0.14,191.9
2015-05-24,23.08,67.1,0.62,0.18,169.2
2015-05-25,21.83,83.2,0.8,0.17,199.6
2015-05-26,21.59,66.5,0.64,0.16,175.0
2015-05-27,22.22,72.3,0.67,0.16,184.0
2015-05-28,24.15,74.7,0.56,0.17,180.3
2015-05-29,21.99,78.0,0.63,0.17,176.5
2015-05-30,20.55,77.0,0.51,0.16,169.1
2015-05-31,21.9,,0.54,0.15,
2015-06-01,26.78,77.0,0.6,0.17,179.1
2015-06-02,23.84,71.5,0.65,0.14,192.7
2015-06-03,23.26,72.6,0.49,0.14,168.0
2015-06-04,24.61,68.9,,0.15,180.5
2015-06-05,22.59,57.2,0.57,0.17,166.7
2015-06-06,24.4,72.9,0.6,0.15,189.8
2015-06-07,,73.9,0.53,0.17,169.9
2015-06-08,23.72,64.9,0.43,0.17,175.3
2015-06-09,18.26,70.4,0.65,0.16,174.9
2015-06-10,21.68,71.0,0.7,0.17,
2015-06-11,22.9,67.4,0.69,0.17,
2015-06-12,,,0.3,0.16,161.7
2015-06-13,18.86,69.3,0.49,0.16,160.4
2015-06-14,22.18,72.3,0.64,0.19,171.1
2015-06-15,20.75,63.2,0.52,,171.1
2015-06-16,20.17,75.9,0.35,0.16,151.8
2015-06-17,22.28,77.0,0.75,0.17,191.6
2015-06-18,21.73,,0.51,0.17,170.8
2015-06-19,19.63,66.1,0.7,0.17,176.5
2015-06-20,20.8,71.7,0.56,0.16,178.3
2015-06-21,19.49,62.5,0.74,0.16,180.1
2015-06-22,21.52,79.1,0.76,,187.6
2015-06-23,22.72,70.0,0.63,0.15,176.6
2015-06-24,22.89,67.1,0.45,0.16,166.8
2015-06-25,21.26,73.0,0.78,0.17,183.2
2015-06-26,20.8,71.5,0.85,0.17,195.6
2015-06-27,18.7,64.4,0.46,0.19,155.6
2015-06-28,,70.8,0.76,0.17,173.4
2015-06-29,19.47,66.2,0.53,0.16,166.0
2015-06-30,19.21,71.3,0.73,0.16,181.3
2015-07-01,19.86,63.4,0.82,0.16,181.2
2015-07-02,21.55,58.3,0.76,0.17,175.2
2015-07-03,17.49,70.5,,0.19,169.4
2015-07-04,24.42,67.4,0.55,0.17,171.9
2015-07-05,20.42,67.1,,0.17,176.1
2015-07-06,20.25,69.7,0.61,0.17,170.9
2015-07-07,19.62,56.4,0.87,0.18,182.8
2015-07-08,17.09,64.9,,0.17,179.5
2015-07-09,18.73,59.8,0.3,,148.2
2015-07-10,18.95,53.5,0.63,0.18,157.1
2015-07-11,22.43,58.5,,0.17,150.9
2015-07-12,,74.5,0.73,0.18,170.0
2015-07-13,19.68,72.4,0.92,0.19,182.1
2015-07-14,18.89,68.2,0.4,0.18,159.7
2015-07-15,19.22,65.4,0.5,0.16,
2015-07-16,18.95,,0.54,0.17,160.4
2015-07-17,19.23,59.0,0.81,0.19,170.4
2015-07-18,16.3,64.4,0.8,0.18,165.7
2015-07-19,16.87,69.1,0.41,0.18,154.0
2015-07-20,19.59,58.2,0.69,0.16,173.7
2015-07-21,19.42,52.7,0.54,0.17,147.3
2015-07-22,18.89,63.4,0.43,0.16,153.2
2015-07-23,20.88,53.0,0.53,0.17,163.1
2015-07-24,17.01,59.5,,0.18,
2015-07-25,20.2,58.0,0.79,0.19,183.3
2015-07-26,18.4,61.3,0.78,0.19,165.8
2015-07-27,19.78,63.5,0.7,0.18,172.5
2015-07-28,16.93,63.9,0.65,0.18,162.8
2015-07-29,,56.2,0.47,0.16,156.9
2015-07-30,15.77,62.4,0.58,0.19,161.1
2015-07-31,19.18,67.0,0.75,0.18,174.7
2015-08-01,17.02,57.9,0.7,0.17,166.1
2015-08-02,16.67,59.0,0.85,0.18,170.4
2015-08-03,18.18,52.4,0.6,0.17,164.3
2015-08-04,17.15,64.0,0.71,0.18,167.1
2015-08-05,16.43,52.1,0.47,0.18,146.2
2015-08-06,18.44,51.0,0.68,0.19,159.7
2015-08-07,17.35,54.2,0.47,0.18,151.5
2015-08-08,18.53,58.0,0.89,0.19,174.5
2015-08-09,15.18,57.3,0.6,0.18,150.1
2015-08-10,15.99,46.8,0.3,0.18,135.0
2015-08-11,17.94,50.8,0.63,0.19,148.6
2015-08-12,17.04,,0.87,0.2,164.2
2015-08-13,14.6,67.7,0.72,0.19,159.2
2015-08-14,18.22,47.5,0.75,0.18,154.9
2015-08-15,18.91,59.0,0.64,0.19,157.3
2015-08-16,16.17,59.5,0.78,0.15,165.7
2015-08-17,16.03,53.2,0.44,0.18,142.5
2015-08-18,17.22,,0.42,0.17,159.5
2015-08-19,17.91,49.0,0.46,0.19,146.1
2015-08-20,15.51,60.7,0.62,0.2,155.0
2015-08-21,15.12,56.5,,0.17,138.1
2015-08-22,13.34,60.5,0.72,0.17,165.4
2015-08-23,16.76,58.9,0.67,0.19,154.1
2015-08-24,17.1,59.3,0.5,,158.7
2015-08-25,14.54,56.4,0.8,0.18,163.5
2015-08-26,17.13,49.2,0.42,0.19,144.5
2015-08-27,18.04,63.1,0.65,0.2,163.2
2015-08-28,,53.9,0.51,0.2,140.9
2015-08-29,13.01,51.3,0.68,0.18,146.9
2015-08-30,,47.3,0.78,0.19,149.4
2015-08-31,16.64,56.2,0.46,0.17,154.4
2015-09-01,16.45,42.3,0.48,0.18,142.8
2015-09-02,17.16,53.1,0.65,0.18,161.8
2015-09-03,15.73,49.9,0.79,0.2,
2015-09-04,17.27,54.1,0.45,0.17,146.6
2015-09-05,13.54,49.8,0.65,0.2,139.6
2015-09-06,17.78,57.2,0.46,0.18,149.8
2015-09-07,18.87,52.6,0.86,0.19,167.3
2015-09-08,14.96,49.0,0.57,0.19,154.7
